,Longitude,Latitude,Altitude,Time,Actual_Speed,Time_diff,Pred_Lat,Pred_Lon,Haversine_Distance,Calculated_Speed
0,-105.434187,41.233283,2606.7,2014-07-26 13:03:55+00:00,2.77628018691555,1.0,41.233209,-105.434177,0.0,0.0
1,-105.434177,41.233209,2607.6,2014-07-26 13:03:58+00:00,1.5139811923537918,3.0,41.233247,-105.434183,8.27081781065042,2.7569392702168067
2,-105.434183,41.233247,2607.2,2014-07-26 13:04:15+00:00,0.7778683573329391,17.0,41.233218,-105.434231,4.255097238875408,0.25029983758090635
3,-105.434231,41.233218,2608.0,2014-07-26 13:04:19+00:00,1.3342991198812701,4.0,41.233196,-105.434269,5.148746045242623,1.2871865113106558
4,-105.434269,41.233196,2608.8,2014-07-26 13:04:22+00:00,1.1603019830852057,3.0,41.233253,-105.434293,4.010212453571057,1.3367374845236857
5,-105.434293,41.233253,2608.1,2014-07-26 13:04:29+00:00,0.6903511399773705,7.0,41.23321,-105.434273,6.648274471402122,0.9497534959145888
6,-105.434273,41.23321,2608.6,2014-07-26 13:04:41+00:00,0.27155375014922273,12.0,41.23321,-105.434214,5.065447056772273,0.4221205880643561
7,-105.434214,41.23321,2608.0,2014-07-26 13:05:23+00:00,0.46884315919627423,42.0,41.233232,-105.434189,4.933719754050928,0.11746951795359353
8,-105.434189,41.233232,2607.4,2014-07-26 13:05:27+00:00,0.6281619296787391,4.0,41.233257,-105.434204,3.2178843624022697,0.8044710906005674
9,-105.434204,41.233257,2607.2,2014-07-26 13:05:34+00:00,0.5025288362263017,7.0,41.233239,-105.434163,3.049765914206714,0.43568084488667347
10,-105.434163,41.233239,2607.1,2014-07-26 13:05:41+00:00,0.4347688336468198,7.0,41.233263,-105.43414,3.969982873453774,0.5671404104933963
11,-105.43414,41.233263,2606.7,2014-07-26 13:05:52+00:00,0.9117851316882073,11.0,41.233304,-105.434141,3.2895284115271166,0.29904803741155606
12,-105.434141,41.233304,2606.6,2014-07-26 13:05:55+00:00,1.768138025044196,3.0,41.233339,-105.434153,4.5597651349304655,1.5199217116434884
13,-105.434153,41.233339,2606.8,2014-07-26 13:05:57+00:00,1.9255537477909848,2.0,41.23337,-105.434168,4.019112978759151,2.0095564893795754
14,-105.434168,41.23337,2606.9,2014-07-26 13:05:59+00:00,1.6781387119395539,2.0,41.233396,-105.434179,3.6681721674559657,1.8340860837279829
15,-105.434179,41.233396,2607.0,2014-07-26 13:06:01+00:00,1.6302158049918827,2.0,41.233427,-105.434184,3.033877072700003,1.5169385363500014
16,-105.434184,41.233427,2607.2,2014-07-26 13:06:03+00:00,1.7646520406455593,2.0,41.233459,-105.434187,3.47231231547528,1.73615615773764
17,-105.434187,41.233459,2607.4,2014-07-26 13:06:05+00:00,1.4991900926396808,2.0,41.233491,-105.434179,3.5670749963709634,1.7835374981854817
18,-105.434179,41.233491,2607.6,2014-07-26 13:06:08+00:00,1.1801772198194842,3.0,41.233501,-105.43414,3.6205827389232113,1.2068609129744037
19,-105.43414,41.233501,2607.7,2014-07-26 13:06:11+00:00,1.170595225005953,3.0,41.233514,-105.434101,3.445611565201015,1.1485371884003384
20,-105.434101,41.233514,2607.8,2014-07-26 13:06:14+00:00,1.1308096214633072,3.0,41.233518,-105.434063,3.567264383377091,1.1890881277923637
21,-105.434063,41.233518,2607.8,2014-07-26 13:06:17+00:00,1.1970770813405545,3.0,41.233542,-105.434028,3.208612566190701,1.069537522063567
22,-105.434028,41.233542,2608.0,2014-07-26 13:06:20+00:00,1.354028564416386,3.0,41.233565,-105.433989,3.9607874879956833,1.3202624959985612
23,-105.433989,41.233565,2608.2,2014-07-26 13:06:23+00:00,1.2681946293537054,3.0,41.233575,-105.43395,4.144457108292503,1.3814857027641676
24,-105.43395,41.233575,2608.4,2014-07-26 13:06:26+00:00,1.1997405902830391,3.0,41.23356,-105.43391,3.4456080709911734,1.1485360236637245
25,-105.43391,41.23356,2608.3,2014-07-26 13:06:29+00:00,1.0233085848266799,3.0,41.233553,-105.433873,3.7376699064739456,1.2458899688246485
26,-105.433873,41.233553,2608.2,2014-07-26 13:06:33+00:00,0.8100642258132542,4.0,41.233534,-105.433843,3.190416667387012,0.797604166846753
27,-105.433843,41.233534,2608.1,2014-07-26 13:06:37+00:00,0.8806489876086794,4.0,41.233512,-105.433809,3.279770593039344,0.819942648259836
28,-105.433809,41.233512,2607.9,2014-07-26 13:06:41+00:00,0.9339846356626572,4.0,41.233516,-105.433765,3.7507103089987868,0.9376775772496967
29,-105.433765,41.233516,2608.0,2014-07-26 13:06:45+00:00,0.8986026269139447,4.0,41.233521,-105.433724,3.70615324695248,0.92653831173812
30,-105.433724,41.233521,2608.0,2014-07-26 13:06:49+00:00,0.8639143918280718,4.0,41.233522,-105.433683,3.4732876819455107,0.8683219204863777
31,-105.433683,41.233522,2608.0,2014-07-26 13:06:53+00:00,0.8929724963694956,4.0,41.233514,-105.43364,3.430303476617594,0.8575758691543985
32,-105.43364,41.233514,2607.9,2014-07-26 13:06:57+00:00,0.9110711126660278,4.0,41.233508,-105.433598,3.704146273697907,0.9260365684244768
33,-105.433598,41.233508,2607.9,2014-07-26 13:07:01+00:00,0.8401893494558548,4.0,41.233498,-105.433553,3.574930295613941,0.8937325739034853
34,-105.433553,41.233498,2607.9,2014-07-26 13:07:06+00:00,0.8078532260543746,5.0,41.233484,-105.433518,3.923840754084324,0.7847681508168648
35,-105.433518,41.233484,2607.8,2014-07-26 13:07:10+00:00,0.8315960159918514,4.0,41.233478,-105.433479,3.3150258400613986,0.8287564600153496
36,-105.433479,41.233478,2607.8,2014-07-26 13:07:14+00:00,0.4931815818174019,4.0,41.233441,-105.433475,3.3288024577981425,0.8322006144495356
37,-105.433475,41.233441,2607.6,2014-07-26 13:07:41+00:00,0.4211584844198666,27.0,41.233426,-105.433439,4.127792612085783,0.152881207855029
38,-105.433439,41.233426,2607.6,2014-07-26 13:07:46+00:00,0.611227727448032,5.0,41.233388,-105.433412,3.4415775107460593,0.6883155021492119
39,-105.433412,41.233388,2607.4,2014-07-26 13:07:55+00:00,0.47521894247788105,9.0,41.233359,-105.433402,4.790799871626526,0.5323110968473919
40,-105.433402,41.233359,2607.3,2014-07-26 13:08:03+00:00,0.5631335777540548,8.0,41.233351,-105.433361,3.331318272719819,0.4164147840899774
41,-105.433361,41.233351,2607.3,2014-07-26 13:08:08+00:00,0.7576638104536262,5.0,41.233343,-105.433324,3.5420326945444787,0.7084065389088957
42,-105.433324,41.233343,2607.4,2014-07-26 13:08:12+00:00,0.7447432779776767,4.0,41.23332,-105.433297,3.2193609715070446,0.8048402428767611
43,-105.433297,41.23332,2607.3,2014-07-26 13:08:17+00:00,0.6899891145135228,5.0,41.2333,-105.433227,3.4115097409974724,0.6823019481994945
44,-105.433227,41.2333,2607.4,2014-07-26 13:08:26+00:00,0.5613251940688735,9.0,41.233271,-105.433214,6.261778197892108,0.6957531330991231
45,-105.433214,41.233271,2607.3,2014-07-26 13:08:34+00:00,0.33361940119229433,8.0,41.233267,-105.433177,3.40296613827349,0.42537076728418627
46,-105.433177,41.233267,2607.5,2014-07-26 13:08:47+00:00,0.13858711204709306,13.0,41.233293,-105.433163,3.1258309788017584,0.2404485368309045
47,-105.433163,41.233293,2607.7,2014-07-26 13:10:14+00:00,0.10099693123300933,87.0,41.233254,-105.43313,3.1191127239518304,0.03585187039025092
48,-105.43313,41.233254,2607.6,2014-07-26 13:10:45+00:00,2.023974797114355,31.0,41.233233,-105.433093,5.140156239402584,0.16581149159363176
49,-105.433093,41.233233,2607.7,2014-07-26 13:10:46+00:00,4.015514375944067,1.0,41.23321,-105.433054,3.8762963990856374,3.8762963990856374
50,-105.433054,41.23321,2607.7,2014-07-26 13:10:47+00:00,4.220173128142715,1.0,41.233185,-105.433015,4.1444701415452965,4.1444701415452965
51,-105.433015,41.233185,2607.8,2014-07-26 13:10:48+00:00,4.395462487911813,1.0,41.233158,-105.432975,4.285279194134556,4.285279194134556
52,-105.432975,41.233158,2607.8,2014-07-26 13:10:49+00:00,4.594638601987177,1.0,41.233131,-105.432932,4.494657070799185,4.494657070799185
53,-105.432932,41.233131,2607.8,2014-07-26 13:10:50+00:00,4.720662565802339,1.0,41.233105,-105.432887,4.684350260932652,4.684350260932652
54,-105.432887,41.233105,2607.9,2014-07-26 13:10:51+00:00,4.988822053022197,1.0,41.233075,-105.432839,4.745372089676273,4.745372089676273
